Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
233,Nikola Jokic\jokicni01,C,21,DEN,73,2038,,,,,,,,,,,,,,,,,,,,,59,8.7,15.1,.578,0.8,2.5,.324,7.9,12.6,.628,3.3,4.0,.825,3.7,8.9,12.7,6.3,1.1,1.0,3.0,3.8,21.6
234,Dahntay Jones\jonesda02,SF,36,CLE,1,12,,,,,,,,,,,,,,,,,,,,,0,9.0,24.0,.375,0.0,6.0,.000,9.0,18.0,.500,9.0,12.0,.750,3.0,3.0,6.0,3.0,0.0,0.0,3.0,3.0,27.0
235,Damian Jones\jonesda03,C,21,GSW,10,85,,,,,,,,,,,,,,,,,,,,,0,3.4,6.8,.500,0.0,0.0,,3.4,6.8,.500,1.3,4.2,.300,3.8,5.9,9.7,0.0,0.4,1.7,2.5,6.4,8.0
236,Derrick Jones\jonesde02,SF,19,PHO,32,545,,,,,,,,,,,,,,,,,,,,,8,4.5,8.0,.562,0.2,0.7,.273,4.3,7.3,.591,1.9,2.7,.707,2.6,2.6,5.2,0.8,0.9,0.9,0.9,4.2,11.1
237,James Jones\jonesja02,SF,36,CLE,48,381,,,,,,,,,,,,,,,,,,,,,2,4.2,8.7,.478,2.9,6.2,.470,1.2,2.5,.500,1.2,1.9,.650,0.3,3.3,3.6,1.3,0.7,0.9,0.9,3.5,12.5
238,Terrence Jones\joneste01,PF,25,TOT,54,1270,,,,,,,,,,,,,,,,,,,,,12,6.5,13.9,.470,0.5,2.1,.253,6.0,11.8,.510,2.9,4.8,.606,1.8,6.8,8.7,1.7,1.1,1.5,1.4,1.9,16.6
239,Tyus Jones\jonesty01,PG,20,MIN,60,774,,,,,,,,,,,,,,,,,,,,,0,3.5,8.4,.414,1.2,3.4,.356,2.3,5.0,.454,1.5,2.0,.767,0.5,2.7,3.1,7.3,2.2,0.2,1.8,2.3,9.7
240,DeAndre Jordan\jordade01,C,28,LAC,81,2570,,,,,,,,,,,,,,,,,,,,,81,5.8,8.1,.714,0.0,0.0,.000,5.8,8.1,.717,2.9,6.0,.482,4.2,11.4,15.6,1.3,0.7,1.9,1.6,3.0,14.4
241,Cory Joseph\josepco01,SG,25,TOR,80,2003,,,,,,,,,,,,,,,,,,,,,22,5.4,11.9,.452,0.9,2.4,.356,4.5,9.5,.477,1.7,2.2,.770,0.9,3.3,4.2,4.8,1.2,0.2,1.9,2.5,13.3
242,Frank Kaminsky\kaminfr01,C,23,CHO,75,1954,,,,,,,,,,,,,,,,,,,,,16,5.9,14.8,.399,2.1,6.5,.328,3.8,8.3,.455,2.2,2.9,.756,1.1,5.1,6.2,3.0,0.9,0.6,1.4,2.6,16.1
243,Enes Kanter\kanteen01,C,24,OKC,72,1533,,,,,,,,,,,,,,,,,,,,,0,9.4,17.3,.545,0.1,0.9,.132,9.3,16.4,.568,5.3,6.7,.786,4.6,6.7,11.3,1.6,0.8,0.9,2.9,3.6,24.3
244,Ryan Kelly\kellyry01,PF,25,ATL,16,110,,,,,,,,,,,,,,,,,,,,,0,2.6,9.2,.286,1.3,3.3,.400,1.3,5.9,.222,1.6,2.0,.833,0.3,5.6,5.9,2.6,1.3,1.6,1.3,1.6,8.2
245,Michael Kidd-Gilchrist\kiddgmi01,SF,23,CHO,81,2349,,,,,,,,,,,,,,,,,,,,,81,4.5,9.5,.477,0.0,0.1,.111,4.5,9.3,.483,2.3,3.0,.784,2.4,6.3,8.7,1.7,1.2,1.2,0.9,2.9,11.4
246,Sean Kilpatrick\kilpase01,SG,27,BRK,70,1754,,,,,,,,,,,,,,,,,,,,,24,6.3,15.1,.415,2.2,6.3,.341,4.1,8.8,.468,4.2,5.0,.843,0.5,5.3,5.7,3.2,0.9,0.1,2.8,2.4,18.9
247,Brandon Knight\knighbr03,SG,25,PHO,54,1140,,,,,,,,,,,,,,,,,,,,,5,6.6,16.6,.398,1.4,4.4,.324,5.2,12.2,.425,4.2,4.9,.857,0.8,2.9,3.7,4.1,0.9,0.2,2.8,2.7,18.8
248,Kyle Korver\korveky01,SG,35,TOT,67,1753,,,,,,,,,,,,,,,,,,,,,22,4.9,10.6,.464,3.3,7.4,.451,1.6,3.2,.494,0.8,0.9,.905,0.2,3.7,3.8,2.3,0.7,0.4,1.4,2.2,13.9
249,Kosta Koufos\koufoko01,C,27,SAC,71,1419,,,,,,,,,,,,,,,,,,,,,62,5.5,9.9,.551,0.0,0.0,.000,5.5,9.9,.552,1.0,1.6,.613,3.0,7.2,10.2,1.2,0.9,1.2,1.5,4.4,11.9
250,Mindaugas Kuzminskas\kuzmimi01,SF,27,NYK,68,1016,,,,,,,,,,,,,,,,,,,,,5,5.6,13.1,.428,1.9,6.0,.321,3.7,7.1,.517,1.9,2.4,.809,1.7,2.8,4.5,2.4,1.0,0.4,1.8,2.8,15.1
251,Skal Labissiere\labissk01,PF,20,SAC,33,612,,,,,,,,,,,,,,,,,,,,,12,6.9,12.8,.537,0.2,0.5,.375,6.7,12.4,.543,3.1,4.4,.703,3.0,6.5,9.5,1.6,0.9,0.8,2.2,3.8,17.0
252,Jeremy Lamb\lambje01,SG,24,CHO,62,1143,,,,,,,,,,,,,,,,,,,,,5,7.1,15.5,.460,1.3,4.6,.281,5.8,10.9,.536,3.5,4.1,.853,0.9,7.4,8.3,2.4,0.9,0.7,1.3,3.1,19.0
253,Nicolas Laprovittola\laproni01,PG,27,SAS,18,174,,,,,,,,,,,,,,,,,,,,,3,4.1,9.7,.426,2.1,5.6,.370,2.1,4.1,.500,1.9,1.9,1.000,0.2,1.9,2.1,5.8,0.8,0.2,3.9,3.9,12.2
254,Joffrey Lauvergne\lauvejo01,PF-C,25,TOT,70,980,,,,,,,,,,,,,,,,,,,,,1,5.4,12.3,.440,1.2,3.6,.337,4.2,8.7,.483,1.7,2.7,.630,2.6,6.6,9.2,2.6,0.9,0.2,2.1,3.0,13.8
255,Zach LaVine\lavinza01,SG,21,MIN,47,1749,,,,,,,,,,,,,,,,,,,,,47,6.7,14.6,.459,2.5,6.4,.387,4.2,8.2,.515,2.4,2.9,.836,0.4,2.9,3.3,2.9,0.8,0.2,1.7,2.1,18.3
256,Ty Lawson\lawsoty01,PG,29,SAC,69,1732,,,,,,,,,,,,,,,,,,,,,24,4.9,10.8,.454,0.7,2.5,.288,4.2,8.4,.502,3.6,4.5,.797,0.9,2.8,3.7,7.0,1.5,0.1,2.7,2.5,14.2
257,Jake Layman\laymaja01,SF,22,POR,35,249,,,,,,,,,,,,,,,,,,,,,1,3.8,12.9,.292,1.9,7.4,.255,1.9,5.5,.342,1.9,2.5,.765,0.9,2.6,3.5,1.6,1.3,0.4,1.6,3.2,11.3
258,Courtney Lee\leeco01,SG,31,NYK,77,2459,,,,,,,,,,,,,,,,,,,,,74,4.7,10.3,.456,1.6,3.9,.401,3.1,6.4,.490,1.2,1.4,.867,0.8,3.0,3.8,2.6,1.2,0.3,1.0,2.1,12.2
259,David Lee\leeda02,PF,33,SAS,79,1477,,,,,,,,,,,,,,,,,,,,,10,6.0,10.2,.590,0.0,0.0,,6.0,10.2,.590,1.9,2.8,.708,3.6,7.1,10.7,3.0,0.8,1.0,2.0,3.0,14.0
260,Alex Len\lenal01,C,23,PHO,77,1560,,,,,,,,,,,,,,,,,,,,,34,5.3,10.7,.497,0.1,0.3,.250,5.2,10.4,.503,3.5,4.8,.721,3.6,8.2,11.8,1.0,0.9,2.3,2.4,5.6,14.1
261,Kawhi Leonard\leonaka01,SF,25,SAS,74,2474,,,,,,,,,,,,,,,,,,,,,74,9.3,19.1,.485,2.1,5.6,.381,7.1,13.5,.529,6.8,7.8,.880,1.2,5.1,6.3,3.8,1.9,0.8,2.2,1.8,27.5
262,Meyers Leonard\leoname01,PF,24,POR,74,1222,,,,,,,,,,,,,,,,,,,,,12,4.3,11.1,.386,2.2,6.3,.347,2.1,4.9,.436,1.0,1.2,.875,0.8,6.2,7.0,2.1,0.4,0.8,1.0,5.1,11.8
263,Jon Leuer\leuerjo01,PF,27,DET,75,1944,,,,,,,,,,,,,,,,,,,,,34,5.7,12.0,.480,0.9,3.1,.293,4.8,8.9,.545,1.8,2.1,.867,1.9,5.6,7.4,2.1,0.6,0.5,1.2,2.7,14.2
264,Caris LeVert\leverca01,SF,22,BRK,57,1237,,,,,,,,,,,,,,,,,,,,,26,5.0,11.1,.450,1.7,5.4,.321,3.3,5.7,.571,1.9,2.7,.720,0.7,4.8,5.5,3.2,1.4,0.2,1.7,2.6,13.6
265,DeAndre Liggins\liggide01,SG,28,TOT,62,777,,,,,,,,,,,,,,,,,,,,,19,2.5,6.6,.387,0.8,2.1,.370,1.8,4.4,.396,1.2,1.9,.625,0.9,4.1,5.0,2.5,2.2,0.6,1.9,3.8,7.0
266,Damian Lillard\lillada01,PG,26,POR,75,2694,,,,,,,,,,,,,,,,,,,,,75,8.8,19.9,.444,2.9,7.7,.370,6.0,12.2,.491,6.5,7.3,.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0
267,Jeremy Lin\linje01,PG,28,BRK,36,883,,,,,,,,,,,,,,,,,,,,,33,7.1,16.3,.438,2.4,6.4,.372,4.8,9.9,.480,4.7,5.7,.816,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3
268,Shaun Livingston\livinsh01,PG,31,GSW,76,1345,,,,,,,,,,,,,,,,,,,,,3,4.6,8.5,.547,0.0,0.1,.333,4.6,8.4,.550,1.1,1.6,.700,0.7,3.3,4.0,3.7,1.0,0.5,1.6,3.2,10.4
269,Shawn Long\longsh01,C,24,PHI,18,234,,,,,,,,,,,,,,,,,,,,,0,9.4,16.8,.560,1.1,2.9,.368,8.3,13.8,.600,2.9,5.4,.543,6.3,6.8,13.1,2.0,1.4,1.4,2.0,7.5,22.8
270,Kevon Looney\looneke01,C,20,GSW,53,447,,,,,,,,,,,,,,,,,,,,,4,4.5,8.6,.523,0.2,0.7,.222,4.3,7.9,.551,1.7,2.7,.618,3.5,6.4,10.0,2.3,1.1,1.4,1.4,5.2,10.9
271,Brook Lopez\lopezbr01,C,28,BRK,75,2222,,,,,,,,,,,,,,,,,,,,,75,9.0,19.0,.474,2.2,6.3,.346,6.8,12.7,.536,4.8,5.9,.810,2.0,4.6,6.5,2.9,0.6,2.0,3.0,3.1,24.9
272,Robin Lopez\lopezro01,C,28,CHI,81,2271,,,,,,,,,,,,,,,,,,,,,81,6.1,12.3,.493,0.0,0.0,.000,6.1,12.3,.494,1.2,1.6,.721,3.9,4.4,8.2,1.3,0.3,1.9,1.4,2.4,13.3
273,Kevin Love\loveke01,PF,28,CLE,60,1885,,,,,,,,,,,,,,,,,,,,,60,7.1,16.6,.427,2.8,7.4,.373,4.3,9.1,.471,4.9,5.6,.871,2.8,9.9,12.7,2.2,1.0,0.4,2.3,2.4,21.8
274,Kyle Lowry\lowryky01,PG,30,TOR,60,2244,,,,,,,,,,,,,,,,,,,,,60,6.8,14.7,.464,3.1,7.5,.412,3.7,7.2,.518,4.8,5.9,.819,0.8,3.9,4.6,6.7,1.4,0.3,2.8,2.7,21.6
275,John Lucas III\lucasjo02,PG,34,MIN,5,11,,,,,,,,,,,,,,,,,,,,,0,3.3,13.1,.250,0.0,3.3,.000,3.3,9.8,.333,0.0,0.0,,0.0,0.0,0.0,3.3,6.5,0.0,0.0,0.0,6.5
276,Timothe Luwawu-Cabarrot\luwawti01,SF,21,PHI,69,1190,,,,,,,,,,,,,,,,,,,,,19,4.4,10.9,.402,1.5,4.9,.311,2.9,6.1,.475,3.2,3.7,.854,0.8,3.8,4.5,2.3,1.0,0.3,2.2,4.7,13.5
277,Trey Lyles\lylestr01,PF,21,UTA,71,1158,,,,,,,,,,,,,,,,,,,,,4,4.9,13.6,.362,2.0,6.3,.319,2.9,7.3,.400,1.8,2.5,.722,1.5,5.8,7.3,2.2,0.8,0.6,2.0,3.0,13.7
278,Shelvin Mack\macksh01,PG,26,UTA,55,1205,,,,,,,,,,,,,,,,,,,,,9,5.1,11.4,.446,1.1,3.6,.308,4.0,7.8,.510,1.6,2.3,.688,0.6,3.2,3.8,4.6,1.3,0.1,2.7,3.0,12.8
279,Ian Mahinmi\mahinia01,C,30,WAS,31,555,,,,,,,,,,,,,,,,,,,,,0,4.2,7.2,.586,0.0,0.0,,4.2,7.2,.586,2.8,4.9,.573,3.0,6.7,9.7,1.2,2.1,1.6,2.2,5.8,11.2
280,Thon Maker\makerth01,C,19,MIL,57,562,,,,,,,,,,,,,,,,,,,,,34,5.3,11.6,.459,1.8,4.7,.378,3.5,6.9,.514,2.0,3.1,.653,2.6,4.7,7.3,1.5,0.6,1.7,1.1,5.4,14.5
281,Boban Marjanovic\marjabo01,C,28,DET,35,293,,,,,,,,,,,,,,,,,,,,,0,8.8,16.2,.545,0.0,0.0,,8.8,16.2,.545,5.8,7.1,.810,5.7,10.3,16.0,1.1,0.7,1.5,1.2,3.1,23.5
282,Jarell Martin\martija01,PF,22,MEM,42,558,,,,,,,,,,,,,,,,,,,,,3,3.7,9.7,.384,0.6,1.6,.360,3.2,8.1,.389,2.6,3.2,.800,2.7,7.7,10.5,0.5,1.1,0.6,1.8,5.9,10.6
283,Wesley Matthews\matthwe02,SG,30,DAL,73,2495,,,,,,,,,,,,,,,,,,,,,73,4.8,12.2,.393,2.5,6.9,.363,2.3,5.3,.432,2.1,2.6,.816,0.3,3.5,3.7,3.0,1.1,0.2,1.5,2.3,14.2
284,Luc Mbah a Moute\mbahalu01,SF,30,LAC,80,1787,,,,,,,,,,,,,,,,,,,,,76,3.8,7.6,.505,0.9,2.2,.391,3.0,5.4,.552,1.2,1.8,.678,0.9,2.6,3.5,0.8,1.6,0.7,0.9,2.5,9.8
285,James Michael McAdoo\mcadoja01,PF,24,GSW,52,457,,,,,,,,,,,,,,,,,,,,,2,4.9,9.2,.530,0.2,0.6,.250,4.7,8.6,.550,1.7,3.3,.500,2.7,4.4,7.1,1.3,1.4,2.3,1.5,3.7,11.6
286,Patrick McCaw\mccawpa01,SG,21,GSW,71,1074,,,,,,,,,,,,,,,,,,,,,20,3.6,8.2,.433,1.4,4.1,.333,2.2,4.1,.533,1.0,1.2,.784,0.7,2.6,3.4,2.6,1.1,0.5,1.2,2.1,9.5
287,Sheldon McClellan\mcclesh01,SG,24,WAS,30,287,,,,,,,,,,,,,,,,,,,,,3,3.8,9.4,.400,0.9,3.8,.233,2.9,5.6,.511,2.9,3.4,.852,0.5,3.8,4.3,1.9,1.0,0.3,0.6,2.1,11.3
288,C.J. McCollum\mccolcj01,SG,25,POR,80,2796,,,,,,,,,,,,,,,,,,,,,80,8.9,18.6,.480,2.4,5.7,.420,6.5,12.9,.506,3.5,3.8,.912,0.8,3.0,3.7,3.7,0.9,0.5,2.2,2.6,23.7
289,T.J. McConnell\mccontj01,PG,24,PHI,81,2133,,,,,,,,,,,,,,,,,,,,,51,4.0,8.6,.461,0.2,0.9,.200,3.8,7.7,.492,1.2,1.5,.811,0.7,3.6,4.2,9.0,2.3,0.2,2.7,2.3,9.4
290,Chris McCullough\mcculch01,PF,21,TOT,16,80,,,,,,,,,,,,,,,,,,,,,0,7.2,14.4,.500,0.5,3.2,.143,6.8,11.3,.600,1.4,2.3,.600,4.1,4.5,8.6,0.9,0.9,0.9,1.4,3.2,16.2
291,K.J. McDaniels\mcdankj01,SF,23,TOT,49,505,,,,,,,,,,,,,,,,,,,,,0,5.5,12.0,.456,1.4,4.7,.303,4.1,7.3,.553,2.3,2.7,.842,1.1,4.8,5.8,0.9,1.4,1.3,2.1,3.5,14.7
292,Doug McDermott\mcderdo01,SF,25,TOT,66,1508,,,,,,,,,,,,,,,,,,,,,5,5.3,11.9,.447,1.8,4.9,.372,3.5,6.9,.500,1.7,2.0,.845,0.5,3.8,4.3,1.4,0.3,0.1,0.9,1.9,14.1
293,JaVale McGee\mcgeeja01,C,29,GSW,77,739,,,,,,,,,,,,,,,,,,,,,10,10.1,15.5,.652,0.0,0.2,.000,10.1,15.3,.660,2.7,5.4,.505,4.9,7.0,11.9,0.8,0.9,3.3,1.9,5.3,23.0
294,Rodney McGruder\mcgruro01,SG,25,MIA,78,1966,,,,,,,,,,,,,,,,,,,,,65,3.5,8.4,.413,1.3,4.0,.332,2.1,4.4,.488,0.8,1.3,.620,1.7,3.0,4.7,2.3,0.8,0.3,1.0,2.6,9.1
295,Ben McLemore\mclembe01,SG,23,SAC,61,1176,,,,,,,,,,,,,,,,,,,,,26,5.5,12.8,.430,2.0,5.2,.382,3.5,7.6,.462,2.1,2.8,.753,0.6,3.4,4.0,1.6,0.9,0.2,1.9,3.3,15.2
296,Jordan McRae\mcraejo01,SG,25,CLE,37,384,,,,,,,,,,,,,,,,,,,,,4,5.4,14.1,.387,1.7,4.8,.353,3.7,9.3,.404,2.5,3.2,.794,0.6,3.2,3.7,1.8,0.7,0.6,1.3,2.9,15.1
297,Josh McRoberts\mcrobjo01,PF,29,MIA,22,381,,,,,,,,,,,,,,,,,,,,,14,4.2,11.1,.373,1.2,2.9,.419,2.9,8.2,.356,0.6,0.9,.667,2.2,4.8,7.0,4.7,0.9,0.4,2.2,2.9,10.1
298,Jodie Meeks\meeksjo01,SG,29,ORL,36,738,,,,,,,,,,,,,,,,,,,,,10,5.0,12.5,.402,2.7,6.7,.409,2.3,5.8,.395,3.2,3.6,.878,0.2,3.5,3.8,2.2,1.7,0.2,1.8,2.0,16.0
299,Salah Mejri\mejrisa01,C,30,DAL,73,905,,,,,,,,,,,,,,,,,,,,,11,3.5,5.4,.642,0.0,0.1,.333,3.5,5.3,.649,1.4,2.4,.590,3.9,8.4,12.3,0.6,1.3,2.4,1.6,6.0,8.5
300,Jordan Mickey\mickejo01,PF,22,BOS,25,141,,,,,,,,,,,,,,,,,,,,,1,3.8,8.7,.441,0.0,0.3,.000,3.8,8.4,.455,2.0,3.6,.571,3.3,5.4,8.7,1.8,0.8,1.5,2.3,3.1,9.7
301,Khris Middleton\middlkh01,SF,25,MIL,29,889,,,,,,,,,,,,,,,,,,,,,23,6.1,13.5,.450,1.8,4.2,.433,4.3,9.3,.459,3.3,3.7,.880,0.4,4.5,5.0,4.0,1.7,0.3,2.6,3.2,17.3
302,C.J. Miles\milescj01,SF,29,IND,76,1776,,,,,,,,,,,,,,,,,,,,,29,5.7,13.1,.434,3.4,8.3,.413,2.3,4.8,.471,1.7,1.9,.903,0.6,4.0,4.6,1.0,0.9,0.5,0.8,3.1,16.5
303,Mike Miller\millemi01,SF,36,DEN,20,151,,,,,,,,,,,,,,,,,,,,,0,2.1,5.5,.391,1.9,4.8,.400,0.2,0.7,.333,0.5,0.5,1.000,0.7,8.6,9.3,5.2,0.5,0.0,3.1,2.1,6.7
304,Patty Mills\millspa02,PG,28,SAS,80,1754,,,,,,,,,,,,,,,,,,,,,8,5.6,12.8,.439,3.0,7.3,.413,2.6,5.5,.474,1.4,1.6,.825,0.5,2.4,2.9,5.7,1.3,0.1,2.1,2.2,15.6
305,Elijah Millsap\millsel01,SG,29,PHO,2,23,,,,,,,,,,,,,,,,,,,,,0,1.6,11.0,.143,0.0,3.1,.000,1.6,7.8,.200,1.6,3.1,.500,4.7,4.7,9.4,1.6,0.0,0.0,3.1,3.1,4.7
306,Paul Millsap\millspa01,PF,31,ATL,69,2343,,,,,,,,,,,,,,,,,,,,,67,6.6,14.9,.442,1.2,3.7,.311,5.5,11.2,.486,4.8,6.2,.768,1.7,6.5,8.2,3.9,1.4,1.0,2.4,2.9,19.1
307,Nikola Mirotic\mirotni01,PF,25,CHI,70,1679,,,,,,,,,,,,,,,,,,,,,15,5.5,13.4,.413,2.8,8.1,.342,2.8,5.3,.520,2.1,2.7,.773,1.3,6.9,8.2,1.6,1.1,1.2,1.7,2.7,16.0
308,Greg Monroe\monrogr01,C,26,MIL,81,1823,,,,,,,,,,,,,,,,,,,,,0,7.6,14.3,.533,0.0,0.1,.000,7.6,14.3,.536,3.5,4.7,.741,3.3,7.2,10.5,3.7,1.8,0.8,2.8,3.3,18.8
309,E'Twaun Moore\mooreet01,SG,27,NOP,73,1820,,,,,,,,,,,,,,,,,,,,,22,5.6,12.2,.457,1.5,4.1,.370,4.1,8.1,.501,1.1,1.5,.770,0.7,2.4,3.0,3.2,1.0,0.6,1.2,2.6,13.8
310,Marcus Morris\morrima03,SF,27,DET,79,2565,,,,,,,,,,,,,,,,,,,,,79,5.9,14.1,.418,1.7,5.0,.331,4.3,9.1,.466,2.0,2.6,.784,1.1,4.1,5.1,2.2,0.7,0.4,1.2,2.4,15.5
311,Markieff Morris\morrima02,PF,27,WAS,76,2374,,,,,,,,,,,,,,,,,,,,,76,6.2,13.5,.457,1.1,3.0,.362,5.1,10.5,.483,2.7,3.3,.837,1.6,5.8,7.5,1.9,1.2,0.6,2.0,3.9,16.1
312,Anthony Morrow\morroan01,SG,31,TOT,49,714,,,,,,,,,,,,,,,,,,,,,7,4.9,12.7,.389,2.1,6.7,.308,2.9,6.0,.479,1.7,1.9,.919,0.6,1.0,1.6,1.3,1.2,0.1,0.3,2.2,13.7
313,Donatas Motiejunas\motiedo01,PF,26,NOP,34,479,,,,,,,,,,,,,,,,,,,,,0,4.3,10.4,.413,0.8,3.5,.234,3.5,6.8,.505,1.9,3.7,.510,2.0,5.6,7.6,2.4,1.4,0.8,2.3,4.1,11.3
314,Timofey Mozgov\mozgoti01,C,30,LAL,54,1104,,,,,,,,,,,,,,,,,,,,,52,5.5,10.7,.515,0.0,0.0,.000,5.5,10.7,.517,2.1,2.5,.808,3.4,5.2,8.6,1.4,0.5,1.0,2.3,4.3,13.1
315,Emmanuel Mudiay\mudiaem01,PG,20,DEN,55,1406,,,,,,,,,,,,,,,,,,,,,41,5.3,14.1,.377,1.4,4.6,.315,3.9,9.6,.408,3.4,4.3,.784,0.7,3.8,4.6,5.6,1.0,0.3,3.1,2.4,15.4
316,Shabazz Muhammad\muhamsh01,SF,24,MIN,78,1516,,,,,,,,,,,,,,,,,,,,,1,6.8,14.2,.482,1.2,3.5,.336,5.7,10.7,.529,3.5,4.5,.774,2.0,3.2,5.2,0.8,0.5,0.1,1.3,2.0,18.3
317,Dejounte Murray\murrade01,PG,20,SAS,38,322,,,,,,,,,,,,,,,,,,,,,8,5.6,13.0,.431,1.0,2.6,.391,4.6,10.4,.441,2.3,3.4,.700,0.7,4.0,4.7,5.4,0.9,0.7,4.2,3.2,14.5
318,Jamal Murray\murraja01,SG,19,DEN,82,1764,,,,,,,,,,,,,,,,,,,,,10,6.0,14.9,.404,2.3,7.0,.334,3.7,7.9,.466,2.2,2.4,.883,0.8,3.5,4.4,3.5,1.1,0.5,2.3,2.5,16.6
319,Mike Muscala\muscami01,C,25,ATL,70,1237,,,,,,,,,,,,,,,,,,,,,3,4.9,9.8,.504,1.3,3.2,.418,3.6,6.6,.546,1.4,1.9,.766,2.2,4.8,7.0,2.8,0.9,1.2,1.6,2.8,12.7
320,Larry Nance Jr.\nancela02,PF,24,LAL,63,1442,,,,,,,,,,,,,,,,,,,,,7,4.7,9.0,.526,0.2,0.9,.278,4.5,8.1,.554,1.5,2.0,.738,3.0,6.2,9.2,2.4,2.0,1.0,1.4,3.7,11.2
321,Shabazz Napier\napiesh01,PG,25,POR,53,512,,,,,,,,,,,,,,,,,,,,,2,5.1,12.9,.399,2.4,6.5,.370,2.7,6.4,.429,2.7,3.4,.776,0.6,3.7,4.3,4.7,2.3,0.1,2.9,2.7,15.3
322,Maurice Ndour\ndourma01,PF,24,NYK,32,331,,,,,,,,,,,,,,,,,,,,,4,4.2,9.4,.453,0.1,0.8,.143,4.1,8.6,.481,2.1,2.8,.731,2.4,4.6,7.0,0.9,1.6,0.9,1.3,3.3,10.7
323,Gary Neal\nealga01,SG,32,ATL,2,18,,,,,,,,,,,,,,,,,,,,,0,0.0,14.0,.000,0.0,4.0,.000,0.0,10.0,.000,8.0,8.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0
324,Jameer Nelson\nelsoja01,PG,34,DEN,75,2045,,,,,,,,,,,,,,,,,,,,,39,4.7,10.6,.444,1.9,4.8,.388,2.9,5.8,.489,0.8,1.1,.714,0.5,2.9,3.4,6.8,0.9,0.1,2.3,3.5,12.1
325,Raul Neto\netora01,PG,24,UTA,40,346,,,,,,,,,,,,,,,,,,,,,0,4.3,9.5,.451,1.0,3.2,.323,3.2,6.2,.517,0.8,0.9,.889,0.4,2.7,3.1,3.5,2.2,0.5,1.6,5.0,10.4
326,Georges Niang\niangge01,PF,23,IND,23,93,,,,,,,,,,,,,,,,,,,,,0,3.5,13.9,.250,0.4,4.6,.083,3.1,9.3,.333,0.8,0.8,1.000,0.8,5.8,6.6,1.9,1.2,0.0,1.9,2.3,8.1
327,Andrew Nicholson\nichoan01,PF,27,TOT,38,342,,,,,,,,,,,,,,,,,,,,,0,4.5,11.7,.387,0.5,2.8,.185,4.0,8.8,.452,0.9,1.5,.643,1.6,4.8,6.4,1.1,1.7,0.6,1.8,5.8,10.5
328,Joakim Noah\noahjo01,C,31,NYK,46,1015,,,,,,,,,,,,,,,,,,,,,46,3.5,7.1,.493,0.0,0.0,.000,3.5,7.1,.495,1.2,2.8,.436,5.7,8.5,14.3,3.7,1.1,1.3,2.1,4.5,8.2
329,Nerlens Noel\noelne01,C,22,TOT,51,1047,,,,,,,,,,,,,,,,,,,,,19,6.3,10.6,.595,0.0,0.0,.000,6.3,10.6,.597,2.6,3.8,.694,3.2,6.9,10.1,1.7,2.2,1.8,1.8,4.3,15.3
330,Lucas Nogueira\noguelu01,C,24,TOR,57,1088,,,,,,,,,,,,,,,,,,,,,6,3.4,5.2,.660,0.1,0.4,.250,3.3,4.8,.694,1.5,2.2,.657,2.7,5.3,8.0,1.4,1.7,3.0,1.5,4.5,8.4
331,Steve Novak\novakst01,PF,33,MIL,8,22,,,,,,,,,,,,,,,,,,,,,0,3.3,11.5,.286,1.6,9.8,.167,1.6,1.6,1.000,0.0,0.0,,0.0,4.9,4.9,0.0,0.0,0.0,0.0,1.6,8.2
332,Dirk Nowitzki\nowitdi01,PF,38,DAL,54,1424,,,,,,,,,,,,,,,,,,,,,54,7.5,17.1,.437,2.0,5.3,.378,5.5,11.9,.463,2.5,2.8,.875,0.6,8.3,8.9,2.1,0.8,1.0,1.3,2.9,19.4
333,Jusuf Nurkic\nurkiju01,C,22,TOT,65,1391,,,,,,,,,,,,,,,,,,,,,48,7.0,13.8,.507,0.0,0.0,.000,7.0,13.8,.508,3.1,5.4,.571,4.0,8.1,12.1,3.2,1.3,1.9,3.7,4.2,17.1
334,David Nwaba\nwabada01,SG,24,LAL,20,397,,,,,,,,,,,,,,,,,,,,,2,4.3,7.3,.580,0.1,0.5,.200,4.2,6.9,.605,2.3,3.5,.641,1.5,4.2,5.6,1.3,1.2,0.6,1.0,3.3,10.9
335,Johnny O'Bryant\obryajo01,PF,23,TOT,11,80,,,,,,,,,,,,,,,,,,,,,0,6.8,13.5,.500,1.4,2.7,.500,5.4,10.8,.500,2.3,2.7,.833,4.1,4.5,8.6,2.7,0.0,0.5,2.7,4.5,17.1
336,Kyle O'Quinn\oquinky01,C,26,NYK,79,1229,,,,,,,,,,,,,,,,,,,,,8,6.3,12.1,.521,0.1,0.5,.118,6.2,11.6,.538,1.9,2.4,.771,4.6,8.3,12.9,3.4,1.1,3.0,2.2,5.1,14.5
