Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
155,Rudy Gobert\goberru01,C,24,UTA,81,2744,,,,,,,,,,,,,,,,,,,,,81,5.4,8.2,.662,0.0,0.0,.000,5.4,8.2,.663,4.1,6.2,.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9
156,Archie Goodwin\goodwar01,SG,22,TOT,15,214,,,,,,,,,,,,,,,,,,,,,0,6.1,11.1,.545,0.8,2.5,.333,5.2,8.6,.608,5.6,7.1,.786,1.2,3.5,4.7,4.0,0.7,0.8,2.4,1.3,18.5
157,Aaron Gordon\gordoaa01,SF,21,ORL,80,2298,,,,,,,,,,,,,,,,,,,,,72,6.2,13.6,.454,1.2,4.2,.288,5.0,9.4,.528,2.4,3.4,.719,1.8,4.5,6.3,2.3,1.0,0.6,1.4,2.7,16.0
158,Eric Gordon\gordoer01,SG,28,HOU,75,2323,,,,,,,,,,,,,,,,,,,,,15,6.4,15.7,.406,3.8,10.2,.372,2.6,5.5,.468,2.3,2.7,.840,0.4,2.7,3.1,2.9,0.7,0.6,1.9,2.3,18.9
159,Marcin Gortat\gortama01,C,32,WAS,82,2556,,,,,,,,,,,,,,,,,,,,,82,5.5,9.5,.579,0.0,0.0,.000,5.5,9.5,.580,1.5,2.2,.648,3.4,8.6,12.0,1.7,0.6,0.9,1.7,3.0,12.4
160,Treveon Graham\grahatr01,SG,23,CHO,27,189,,,,,,,,,,,,,,,,,,,,,1,3.6,7.6,.475,1.7,2.9,.600,1.9,4.8,.400,1.9,2.9,.667,1.0,3.2,4.2,1.1,1.1,0.2,0.6,3.4,10.9
161,Jerami Grant\grantje01,SF,22,TOT,80,1531,,,,,,,,,,,,,,,,,,,,,4,3.6,7.7,.463,1.0,2.7,.371,2.6,5.0,.514,2.1,3.5,.612,0.9,4.0,4.8,1.1,0.8,1.9,1.0,3.5,10.3
162,Jerian Grant\grantje02,PG,24,CHI,63,1028,,,,,,,,,,,,,,,,,,,,,28,4.5,10.5,.425,1.7,4.7,.366,2.8,5.8,.473,2.3,2.6,.890,0.6,3.3,3.9,4.2,1.6,0.3,1.5,3.3,13.0
163,Danny Green\greenda02,SG,29,SAS,68,1807,,,,,,,,,,,,,,,,,,,,,68,3.5,8.9,.392,2.4,6.2,.379,1.2,2.7,.420,0.5,0.6,.844,0.6,3.8,4.5,2.5,1.4,1.2,1.5,2.4,9.9
164,Draymond Green\greendr01,PF,26,GSW,76,2471,,,,,,,,,,,,,,,,,,,,,76,4.0,9.5,.418,1.2,3.8,.308,2.8,5.6,.494,2.2,3.1,.709,1.4,7.3,8.7,7.8,2.2,1.5,2.7,3.2,11.3
165,Gerald Green\greenge01,SF,31,BOS,47,538,,,,,,,,,,,,,,,,,,,,,0,6.4,15.5,.409,2.6,7.4,.351,3.7,8.1,.463,2.2,2.7,.805,1.1,4.6,5.7,2.2,0.6,0.5,1.7,3.2,17.5
166,JaMychal Green\greenja01,PF,26,MEM,77,2101,,,,,,,,,,,,,,,,,,,,,75,4.3,8.6,.500,0.9,2.5,.379,3.3,6.1,.549,2.3,2.9,.802,2.9,6.5,9.3,1.4,0.8,0.6,1.6,4.2,11.8
167,Jeff Green\greenje02,PF,30,ORL,69,1534,,,,,,,,,,,,,,,,,,,,,11,5.2,13.1,.394,1.2,4.5,.275,3.9,8.6,.458,3.4,3.9,.863,0.9,4.1,5.0,1.9,0.9,0.3,1.8,2.4,15.0
168,Blake Griffin\griffbl01,PF,27,LAC,61,2076,,,,,,,,,,,,,,,,,,,,,61,8.3,16.8,.493,0.7,2.0,.336,7.6,14.9,.514,5.5,7.3,.760,1.9,6.7,8.6,5.2,1.0,0.4,2.5,2.7,22.8
169,Justin Hamilton\hamilju01,C,26,BRK,64,1177,,,,,,,,,,,,,,,,,,,,,7,5.3,11.6,.459,1.7,5.5,.304,3.6,6.1,.601,1.2,1.6,.750,2.2,5.8,8.0,1.7,0.9,1.3,1.3,2.8,13.5
170,A.J. Hammons\hammoaj01,C,24,DAL,22,163,,,,,,,,,,,,,,,,,,,,,0,3.8,9.3,.405,1.1,2.2,.500,2.7,7.1,.375,2.0,4.4,.450,1.8,6.2,8.0,0.9,0.2,2.9,2.2,4.6,10.6
171,Tim Hardaway\hardati02,SG,24,ATL,79,2154,,,,,,,,,,,,,,,,,,,,,30,6.9,15.2,.455,2.5,7.0,.357,4.4,8.3,.537,2.7,3.6,.766,0.6,3.2,3.7,3.0,0.9,0.3,1.8,1.7,19.1
172,James Harden\hardeja01,PG,27,HOU,81,2947,,,,,,,,,,,,,,,,,,,,,81,8.2,18.7,.440,3.2,9.2,.347,5.0,9.5,.530,9.1,10.8,.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8
173,Maurice Harkless\harklma01,SF,23,POR,77,2223,,,,,,,,,,,,,,,,,,,,,69,5.1,10.1,.503,1.1,3.1,.351,4.0,7.0,.572,1.2,2.0,.621,2.0,3.5,5.5,1.4,1.4,1.1,1.4,3.5,12.5
174,Justin Harper\harpeju01,PF,27,PHI,3,31,,,,,,,,,,,,,,,,,,,,,0,5.8,13.9,.417,2.3,8.1,.286,3.5,5.8,.600,0.0,0.0,,2.3,3.5,5.8,2.3,0.0,0.0,4.6,2.3,13.9
175,Montrezl Harrell\harremo01,C,23,HOU,58,1064,,,,,,,,,,,,,,,,,,,,,14,7.6,11.7,.652,0.0,0.2,.143,7.6,11.4,.663,2.6,4.1,.628,2.7,4.7,7.4,2.2,0.7,1.4,1.5,4.3,17.8
176,Devin Harris\harride01,PG,33,DAL,65,1087,,,,,,,,,,,,,,,,,,,,,0,4.5,11.3,.399,1.9,5.9,.328,2.6,5.4,.476,3.5,4.3,.829,0.4,3.8,4.2,4.5,1.4,0.2,1.9,3.3,14.5
177,Gary Harris\harriga01,SG,22,DEN,57,1782,,,,,,,,,,,,,,,,,,,,,56,6.5,12.9,.502,2.2,5.2,.420,4.3,7.7,.558,2.1,2.7,.776,1.0,2.6,3.6,3.3,1.4,0.2,1.5,1.9,17.2
178,Joe Harris\harrijo01,SG,25,BRK,52,1138,,,,,,,,,,,,,,,,,,,,,11,4.9,11.5,.425,2.7,7.0,.385,2.2,4.5,.489,1.1,1.6,.714,0.5,4.1,4.7,1.7,0.9,0.3,1.7,3.8,13.5
179,Manny Harris\harrima01,SG,27,DAL,4,25,,,,,,,,,,,,,,,,,,,,,0,4.3,21.6,.200,0.0,2.9,.000,4.3,18.7,.231,2.9,5.8,.500,4.3,8.6,13.0,2.9,0.0,0.0,2.9,1.4,11.5
180,Tobias Harris\harrito02,PF,24,DET,82,2567,,,,,,,,,,,,,,,,,,,,,48,7.2,14.9,.481,1.5,4.4,.347,5.6,10.5,.537,2.7,3.2,.841,0.9,5.0,5.8,2.0,0.8,0.5,1.3,1.9,18.5
181,Aaron Harrison\harriaa01,SG,22,CHO,5,17,,,,,,,,,,,,,,,,,,,,,0,0.0,8.5,.000,0.0,4.2,.000,0.0,4.2,.000,2.1,4.2,.500,0.0,6.4,6.4,6.4,0.0,0.0,0.0,4.2,2.1
182,Andrew Harrison\harrian01,PG,22,MEM,72,1474,,,,,,,,,,,,,,,,,,,,,18,2.9,8.8,.325,1.1,3.8,.276,1.8,5.0,.363,3.6,4.7,.763,0.6,2.8,3.3,4.8,1.3,0.5,2.1,4.7,10.4
183,Udonis Haslem\hasleud01,C,36,MIA,17,130,,,,,,,,,,,,,,,,,,,,,0,3.0,6.4,.478,0.0,0.8,.000,3.0,5.5,.550,2.5,4.2,.600,2.2,7.8,10.0,1.7,1.4,0.3,2.2,6.1,8.6
184,Spencer Hawes\hawessp01,PF,28,TOT,54,797,,,,,,,,,,,,,,,,,,,,,1,6.1,12.5,.484,1.1,3.7,.309,4.9,8.9,.556,2.0,2.3,.846,1.7,6.9,8.6,3.7,0.7,1.4,2.2,3.5,15.2
185,Gordon Hayward\haywago01,SF,26,UTA,73,2516,,,,,,,,,,,,,,,,,,,,,73,7.8,16.5,.471,2.1,5.4,.398,5.7,11.2,.506,5.2,6.1,.844,0.7,4.9,5.6,3.6,1.0,0.3,2.0,1.7,22.9
186,Gerald Henderson\hendege02,SG,29,PHI,72,1667,,,,,,,,,,,,,,,,,,,,,41,5.1,11.9,.423,1.3,3.7,.353,3.7,8.2,.455,2.9,3.6,.806,0.7,3.3,4.0,2.4,0.9,0.3,1.3,2.8,14.3
187,John Henson\hensojo01,C,26,MIL,58,1123,,,,,,,,,,,,,,,,,,,,,39,5.1,9.9,.515,0.0,0.0,.000,5.1,9.9,.516,2.4,3.4,.692,2.9,6.5,9.5,1.8,0.9,2.5,1.7,4.8,12.6
188,Juan Hernangomez\hernaju01,PF,21,DEN,62,842,,,,,,,,,,,,,,,,,,,,,9,4.3,9.6,.451,2.0,4.8,.407,2.4,4.7,.495,2.4,3.2,.750,1.8,6.2,8.0,1.2,1.2,0.5,1.3,2.7,13.0
189,Willy Hernangomez\hernawi01,C,22,NYK,72,1324,,,,,,,,,,,,,,,,,,,,,22,6.7,12.6,.529,0.1,0.4,.267,6.6,12.2,.538,2.5,3.4,.728,4.6,9.0,13.6,2.6,1.1,1.0,2.7,4.1,16.0
